SnP_ESG_Company,SnP_ESG_Score,SnP_ESG_Country,SnP_ESG_Industry,SnP_ESG_Ticker,ESG_environment,ESG_social,ESG_governance
Ameren Corporation ESG Score,35,Location: United States of America,Industry: MUW Multi and Water Utilities,Ticker: AEE,32,36,41
PPL Corporation ESG Score,40,Location: United States of America,Industry: ELC Electric Utilities,Ticker: PPL,43,31,47
Biogen Inc. ESG Score,69,Location: United States of America,Industry: BTC Biotechnology,Ticker: BIIB,47,77,67
Hubbell Incorporated ESG Score,54,Location: United States of America,Industry: ELQ Electrical Components & Equipment,Ticker: HUBB,41,57,66
FirstEnergy Corp. ESG Score,36,Location: United States of America,Industry: ELC Electric Utilities,Ticker: FE,39,32,37
Regions Financial Corporation ESG Score,47,Location: United States of America,Industry: BNK Banks,Ticker: RF,42,44,51
"West Pharmaceutical Services, Inc. ESG Score",36,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: WST,40,28,41
Cincinnati Financial Corporation ESG Score,24,Location: United States of America,Industry: INS Insurance,Ticker: CINF,15,19,30
SBA Communications Corporation ESG Score,54,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: SBAC,46,60,56
"Expedia Group, Inc. ESG Score",37,Location: United States of America,"Industry: TRT Hotels, Resorts & Cruise Lines",Ticker: EXPE,39,33,41
PTC Inc. ESG Score,42,Location: United States of America,Industry: SOF Software,Ticker: PTC,30,41,51
W. R. Berkley Corporation ESG Score,26,Location: United States of America,Industry: INS Insurance,Ticker: WRB,23,21,31
Waters Corporation ESG Score,61,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: WAT,65,69,50
International Flavors & Fragrances Inc. ESG Score,68,Location: United States of America,Industry: CHM Chemicals,Ticker: IFF,71,71,60
Atmos Energy Corporation ESG Score,25,Location: United States of America,Industry: GAS Gas Utilities,Ticker: ATO,25,14,36
Teledyne Technologies Incorporated ESG Score,34,Location: United States of America,"Industry: ITC Electronic Equipment, Instruments & Components",Ticker: TDY,32,30,39
"Warner Bros. Discovery, Inc. ESG Score",35,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: WBD,22,34,42
The Estée Lauder Companies Inc. ESG Score,50,Location: United States of America,Industry: COS Personal Products,Ticker: EL,57,45,50
"Tyson Foods, Inc. ESG Score",38,Location: United States of America,Industry: FOA Food Products,Ticker: TSN,39,51,24
Weyerhaeuser Company ESG Score,64,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: WY,66,58,69
Eversource Energy ESG Score,43,Location: United States of America,Industry: ELC Electric Utilities,Ticker: ES,48,31,49
Western Digital Corporation ESG Score,53,Location: United States of America,Industry: THQ Computers & Peripherals and Office Electronics,Ticker: WDC,60,47,53
STERIS plc ESG Score,38,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: STE,31,39,38
"Steel Dynamics, Inc. ESG Score",37,Location: United States of America,Industry: STL Steel,Ticker: STLD,37,36,39
"Zimmer Biomet Holdings, Inc. ESG Score",38,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: ZBH,29,39,39
Erie Indemnity Company ESG Score,23,Location: United States of America,Industry: INS Insurance,Ticker: ERIE,8,20,30
Packaging Corporation of America ESG Score,37,Location: United States of America,Industry: CTR Containers & Packaging,Ticker: PKG,37,36,38
Northern Trust Corporation ESG Score,43,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: NTRS,52,32,47
Seagate Technology Holdings plc ESG Score,46,Location: Republic of Singapore,Industry: THQ Computers & Peripherals and Office Electronics,Ticker: STX,45,46,48
"Cboe Global Markets, Inc. ESG Score",45,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: CBOE,44,43,46
Zebra Technologies Corporation ESG Score,36,Location: United States of America,"Industry: ITC Electronic Equipment, Instruments & Components",Ticker: ZBRA,36,29,42
Fox Corporation ESG Score,27,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: FOXA,22,24,34
"Builders FirstSource, Inc. ESG Score",27,Location: United States of America,Industry: BLD Building Products,Ticker: BLDR,19,27,36
"McCormick & Company, Incorporated ESG Score",50,Location: United States of America,Industry: FOA Food Products,Ticker: MKC,60,40,48
Invitation Homes Inc. ESG Score,19,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: INVH,13,15,31
"Citizens Financial Group, Inc. ESG Score",38,Location: United States of America,Industry: BNK Banks,Ticker: CFG,37,31,43
Labcorp Holdings Inc. ESG Score,37,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: LH,31,33,43
The Clorox Company ESG Score,45,Location: United States of America,Industry: HOU Household Products,Ticker: CLX,60,32,44
CMS Energy Corporation ESG Score,41,Location: United States of America,Industry: MUW Multi and Water Utilities,Ticker: CMS,43,32,47
"The Cooper Companies, Inc. ESG Score",35,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: COO,28,33,40
Omnicom Group Inc. ESG Score,37,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: OMC,38,29,47
"Essex Property Trust, Inc. ESG Score",38,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: ESS,40,33,42
"Principal Financial Group, Inc. ESG Score",54,Location: United States of America,Industry: INS Insurance,Ticker: PFG,45,43,64
International Paper Company ESG Score,39,Location: United States of America,Industry: CTR Containers & Packaging,Ticker: IP,45,30,42
"CenterPoint Energy, Inc. ESG Score",38,Location: United States of America,Industry: MUW Multi and Water Utilities,Ticker: CNP,37,33,43
"Darden Restaurants, Inc. ESG Score",32,Location: United States of America,Industry: REX Restaurants & Leisure Facilities,Ticker: DRI,36,22,43
"First Solar, Inc. ESG Score",50,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: FSLR,56,43,47
"J.B. Hunt Transport Services, Inc. ESG Score",55,Location: United States of America,Industry: TRA Transportation and Transportation Infrastructure,Ticker: JBHT,56,49,62
"Best Buy Co., Inc. ESG Score",48,Location: United States of America,Industry: RTS Retailing,Ticker: BBY,52,35,57
Insulet Corporation ESG Score,34,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: PODD,34,32,37
Southwest Airlines Co. ESG Score,47,Location: United States of America,Industry: AIR Airlines,Ticker: LUV,58,47,33
"Mid-America Apartment Communities, Inc. ESG Score",30,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: MAA,30,26,36
Brown-Forman Corporation ESG Score,31,Location: United States of America,Industry: BVG Beverages,Ticker: BF.B,37,27,30
KeyCorp ESG Score,42,Location: United States of America,Industry: BNK Banks,Ticker: KEY,47,33,46
"Alexandria Real Estate Equities, Inc. ESG Score",58,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: ARE,68,51,52
Snap-on Incorporated ESG Score,28,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: SNA,21,31,34
Gen Digital Inc. ESG Score,53,Location: United States of America,Industry: SOF Software,Ticker: GEN,57,44,59
"NRG Energy, Inc. ESG Score",38,Location: United States of America,Industry: ELC Electric Utilities,Ticker: NRG,44,24,46
Coterra Energy Inc. ESG Score,36,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: CTRA,34,33,43
"Hologic, Inc. ESG Score",45,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: HOLX,33,48,47
FactSet Research Systems Inc. ESG Score,43,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: FDS,53,43,40
Jacobs Solutions Inc. ESG Score,76,Location: United States of America,Industry: PRO Professional Services,Ticker: J,99,76,68
"Molina Healthcare, Inc. ESG Score",33,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: MOH,16,32,39
Ball Corporation ESG Score,67,Location: United States of America,Industry: CTR Containers & Packaging,Ticker: BALL,68,67,67
Quest Diagnostics Incorporated ESG Score,50,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: DGX,43,48,53
Loews Corporation ESG Score,18,Location: United States of America,Industry: INS Insurance,Ticker: L,6,16,23
"Ulta Beauty, Inc. ESG Score",39,Location: United States of America,Industry: RTS Retailing,Ticker: ULTA,45,27,45
Trimble Inc. ESG Score,38,Location: United States of America,"Industry: ITC Electronic Equipment, Instruments & Components",Ticker: TRMB,47,32,36
"VeriSign, Inc. ESG Score",30,Location: United States of America,Industry: TSV IT services,Ticker: VRSN,11,29,46
"Teradyne, Inc. ESG Score",37,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: TER,35,34,42
News Corporation ESG Score,37,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: NWSA,54,29,41
IDEX Corporation ESG Score,33,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: IEX,25,30,43
Baxter International Inc. ESG Score,51,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: BAX,64,45,53
Pentair plc ESG Score,42,Location: United Kingdom of Great Britain and Northern Ireland,Industry: IEQ Machinery and Electrical Equipment,Ticker: PNR,33,43,51
Genuine Parts Company ESG Score,26,Location: United States of America,Industry: RTS Retailing,Ticker: GPC,15,27,33
Masco Corporation ESG Score,33,Location: United States of America,Industry: BLD Building Products,Ticker: MAS,34,28,38
NiSource Inc. ESG Score,58,Location: United States of America,Industry: MUW Multi and Water Utilities,Ticker: NI,61,49,63
"Moderna, Inc. ESG Score",54,Location: United States of America,Industry: BTC Biotechnology,Ticker: MRNA,26,54,64
Hormel Foods Corporation ESG Score,42,Location: United States of America,Industry: FOA Food Products,Ticker: HRL,47,38,39
Kimco Realty Corporation ESG Score,66,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: KIM,72,62,62
"UDR, Inc. ESG Score",34,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: UDR,34,26,44
"Expeditors International of Washington, Inc. ESG Score",30,Location: United States of America,Industry: TRA Transportation and Transportation Infrastructure,Ticker: EXPD,27,26,39
Dollar General Corporation ESG Score,31,Location: United States of America,Industry: FDR Food & Staples Retailing,Ticker: DG,25,31,38
"Align Technology, Inc. ESG Score",29,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: ALGN,21,24,37
Avery Dennison Corporation ESG Score,49,Location: United States of America,Industry: CTR Containers & Packaging,Ticker: AVY,57,44,45
Textron Inc. ESG Score,27,Location: United States of America,Industry: ARO Aerospace & Defense,Ticker: TXT,36,33,13
"Everest Group, Ltd. ESG Score",29,Location: Bermuda,Industry: INS Insurance,Ticker: EG,13,23,38
Marathon Oil Corporation ESG Score,35,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: N/A,24,40,44
Incyte Corporation ESG Score,40,Location: United States of America,Industry: BTC Biotechnology,Ticker: INCY,29,44,40
Alliant Energy Corporation ESG Score,35,Location: United States of America,Industry: ELC Electric Utilities,Ticker: LNT,38,28,37
"Healthpeak Properties, Inc. ESG Score",64,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: DOC,72,55,63
"Domino's Pizza, Inc. ESG Score",23,Location: United States of America,Industry: REX Restaurants & Leisure Facilities,Ticker: DPZ,29,17,27
Jabil Inc. ESG Score,47,Location: United States of America,"Industry: ITC Electronic Equipment, Instruments & Components",Ticker: JBL,51,42,48
Nordson Corporation ESG Score,32,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: NDSN,26,35,36
Amcor plc ESG Score,60,Location: Swiss Confederation,Industry: CTR Containers & Packaging,Ticker: AMCR,69,49,61
"CF Industries Holdings, Inc. ESG Score",40,Location: United States of America,Industry: CHM Chemicals,Ticker: CF,29,39,56
"Revvity, Inc. ESG Score",44,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: RVTY,41,45,44
"Evergy, Inc. ESG Score",48,Location: United States of America,Industry: ELC Electric Utilities,Ticker: EVRG,51,42,50
"F5, Inc. ESG Score",30,Location: United States of America,Industry: CMT Communications Equipment,Ticker: FFIV,27,24,38
"EPAM Systems, Inc. ESG Score",40,Location: United States of America,Industry: TSV IT services,Ticker: EPAM,42,31,49
"BXP, Inc. ESG Score",61,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: BXP,79,53,46
"Skyworks Solutions, Inc. ESG Score",38,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: SWKS,39,38,38
"Akamai Technologies, Inc. ESG Score",55,Location: United States of America,Industry: TSV IT services,Ticker: AKAM,67,43,60
Pool Corporation ESG Score,26,Location: United States of America,Industry: RTS Retailing,Ticker: POOL,17,27,32
"Universal Health Services, Inc. ESG Score",22,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: UHS,17,29,17
"Stanley Black & Decker, Inc. ESG Score",45,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: SWK,41,35,56
Regency Centers Corporation ESG Score,50,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: REG,67,35,45
"Dollar Tree, Inc. ESG Score",29,Location: United States of America,Industry: FDR Food & Staples Retailing,Ticker: DLTR,35,23,29
Aptiv PLC ESG Score,53,Location: Ireland,Industry: ATX Auto Components,Ticker: APTV,71,31,55
"Conagra Brands, Inc. ESG Score",44,Location: United States of America,Industry: FOA Food Products,Ticker: CAG,48,38,44
"Paycom Software, Inc. ESG Score",31,Location: United States of America,Industry: PRO Professional Services,Ticker: PAYC,16,30,38
Ralph Lauren Corporation ESG Score,50,Location: United States of America,"Industry: TEX Textiles, Apparel & Luxury Goods",Ticker: RL,57,39,54
DaVita Inc. ESG Score,64,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: DVA,75,65,58
"Jack Henry & Associates, Inc. ESG Score",37,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: JKHY,33,29,43
"C.H. Robinson Worldwide, Inc. ESG Score",42,Location: United States of America,Industry: TRA Transportation and Transportation Infrastructure,Ticker: CHRW,33,43,50
Camden Property Trust ESG Score,31,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: CPT,34,28,31
"Juniper Networks, Inc. ESG Score",45,Location: United States of America,Industry: CMT Communications Equipment,Ticker: JNPR,46,40,50
Molson Coors Beverage Company ESG Score,43,Location: United States of America,Industry: BVG Beverages,Ticker: TAP,49,37,42
"Host Hotels & Resorts, Inc. ESG Score",72,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: HST,76,70,69
"Super Micro Computer, Inc. ESG Score",32,Location: United States of America,Industry: THQ Computers & Peripherals and Office Electronics,Ticker: SMCI,34,29,33
Dayforce Inc. ESG Score,53,Location: United States of America,Industry: PRO Professional Services,Ticker: DAY,62,48,56
Allegion plc ESG Score,37,Location: Ireland,Industry: BLD Building Products,Ticker: ALLE,38,34,39
Norwegian Cruise Line Holdings Ltd. ESG Score,52,Location: United States of America,"Industry: TRT Hotels, Resorts & Cruise Lines",Ticker: NCLH,60,48,51
Bunge Global SA ESG Score,38,Location: United States of America,Industry: FOA Food Products,Ticker: BG,44,32,40
Albemarle Corporation ESG Score,60,Location: United States of America,Industry: CHM Chemicals,Ticker: ALB,59,65,56
"Tapestry, Inc. ESG Score",41,Location: United States of America,"Industry: TEX Textiles, Apparel & Luxury Goods",Ticker: TPR,49,28,46
The J. M. Smucker Company ESG Score,46,Location: United States of America,Industry: FOA Food Products,Ticker: SJM,45,42,51
"CarMax, Inc. ESG Score",26,Location: United States of America,Industry: RTS Retailing,Ticker: KMX,22,23,31
Bio-Techne Corporation ESG Score,29,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: TECH,24,24,36
Eastman Chemical Company ESG Score,48,Location: United States of America,Industry: CHM Chemicals,Ticker: EMN,50,37,56
"Lamb Weston Holdings, Inc. ESG Score",40,Location: United States of America,Industry: FOA Food Products,Ticker: LW,37,40,45
Generac Holdings Inc. ESG Score,28,Location: United States of America,Industry: ELQ Electrical Components & Equipment,Ticker: GNRC,18,26,42
"Franklin Resources, Inc. ESG Score",33,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: BEN,34,28,36
"Charles River Laboratories International, Inc. ESG Score",41,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: CRL,42,39,43
MGM Resorts International ESG Score,56,Location: United States of America,Industry: CNO Casinos & Gaming,Ticker: MGM,64,48,60
"The Interpublic Group of Companies, Inc. ESG Score",58,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: IPG,59,53,64
"Assurant, Inc. ESG Score",44,Location: United States of America,Industry: INS Insurance,Ticker: AIZ,44,39,47
"Catalent, Inc. ESG Score",48,Location: United States of America,Industry: DRG Pharmaceuticals,Ticker: CTLT,57,42,51
A. O. Smith Corporation ESG Score,27,Location: United States of America,Industry: BLD Building Products,Ticker: AOS,23,21,38
Pinnacle West Capital Corporation ESG Score,41,Location: United States of America,Industry: ELC Electric Utilities,Ticker: PNW,42,36,44
MarketAxess Holdings Inc. ESG Score,43,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: MKTX,43,32,51
LKQ Corporation ESG Score,33,Location: United States of America,Industry: RTS Retailing,Ticker: LKQ,27,31,40
Federal Realty Investment Trust ESG Score,59,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: FRT,72,46,55
The AES Corporation ESG Score,69,Location: United States of America,Industry: ELC Electric Utilities,Ticker: AES,75,60,71
"Wynn Resorts, Limited ESG Score",27,Location: United States of America,Industry: CNO Casinos & Gaming,Ticker: WYNN,23,33,23
Globe Life Inc. ESG Score,26,Location: United States of America,Industry: INS Insurance,Ticker: GL,26,31,22
Teleflex Incorporated ESG Score,43,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: TFX,36,45,44
"Mohawk Industries, Inc. ESG Score",41,Location: United States of America,Industry: DHP Household Durables,Ticker: MHK,56,27,42
"Hasbro, Inc. ESG Score",42,Location: United States of America,Industry: LEG Leisure Equipment & Products and Consumer Electronics,Ticker: HAS,40,43,41
"Henry Schein, Inc. ESG Score",39,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: HSIC,40,38,41
"Caesars Entertainment, Inc. ESG Score",50,Location: United States of America,Industry: CNO Casinos & Gaming,Ticker: CZR,62,41,54
Celanese Corporation ESG Score,51,Location: United States of America,Industry: CHM Chemicals,Ticker: CE,54,43,56
The Mosaic Company ESG Score,47,Location: United States of America,Industry: CHM Chemicals,Ticker: MOS,51,46,44
"Enphase Energy, Inc. ESG Score",33,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: ENPH,36,32,31
APA Corporation ESG Score,45,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: APA,34,49,54
Paramount Global ESG Score,44,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: PARA,43,45,44
"Huntington Ingalls Industries, Inc. ESG Score",30,Location: United States of America,Industry: ARO Aerospace & Defense,Ticker: HII,19,27,41
Invesco Ltd. ESG Score,37,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: IVZ,51,36,34
"Match Group, Inc. ESG Score",33,Location: United States of America,"Industry: IMS Interactive Media, Services & Home Entertainment",Ticker: MTCH,27,30,40
"Walgreens Boots Alliance, Inc. ESG Score",52,Location: United States of America,Industry: FDR Food & Staples Retailing,Ticker: WBA,57,58,38
BorgWarner Inc. ESG Score,49,Location: United States of America,Industry: ATX Auto Components,Ticker: BWA,52,49,45
FMC Corporation ESG Score,58,Location: United States of America,Industry: CHM Chemicals,Ticker: FMC,63,56,55
"Qorvo, Inc. ESG Score",39,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: QRVO,41,34,40
